WALLET;NFT ID;LEVEL;RARITY;ILLEGAL STATUS
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;994708;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;994647;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;989695;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;988347;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;987906;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;986010;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;983575;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;981460;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;981435;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;975836;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;975073;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;966765;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;962932;19;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;962313;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;956309;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;952846;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;952455;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;952278;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;947684;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;947561;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;937602;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;923868;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;923789;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;923763;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;920269;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;920175;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;911863;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;911858;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;911847;3;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;909336;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;896384;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;894837;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;891646;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;885173;1;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;884625;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;880964;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;876166;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;870442;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;870122;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;868285;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;850400;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;842256;20;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;840846;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;836900;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;828078;11;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;823473;20;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;822295;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;809790;19;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;808394;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;800902;19;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;794424;24;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;777701;20;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;762918;20;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;762393;20;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;762095;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;748286;9;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;748206;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;729333;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;701816;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;701434;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;695753;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;650543;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;650324;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;639383;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;602550;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;593039;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;576848;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;564887;10;5;0
0x5e9fee15038ca8333e80f3a4725a2320b4ce62ae;562269;10;5;0
